                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,                0.00052,                0.00052,                0.00052
                      2,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.001025,               0.001025,               0.001025
                      3,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0014944,              0.0014944,              0.0014944
                      4,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.001802,               0.001802,               0.001802
                      5,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.001802,               0.001802,               0.001802
                      6,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.001736,               0.001736,               0.001736
                      7,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,                0.00167,                0.00167,                0.00167
                      8,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.001604,               0.001604,               0.001604
                      9,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.001538,               0.001538,               0.001538
                     10,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.001472,               0.001472,               0.001472
                     11,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.001406,               0.001406,               0.001406
                     12,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,                0.00134,                0.00134,                0.00134
                     13,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.001274,               0.001274,               0.001274
                     14,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.001208,               0.001208,               0.001208
                     15,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.001142,               0.001142,               0.001142
                     16,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.001076,               0.001076,               0.001076
                     17,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,                0.00101,                0.00101,                0.00101
                     18,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.000944,               0.000944,               0.000944
                     19,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.000878,               0.000878,               0.000878
                     20,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.000812,               0.000812,               0.000812
                     21,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.000746,               0.000746,               0.000746
                     22,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,                0.00068,                0.00068,                0.00068
                     23,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.000614,               0.000614,               0.000614
                     24,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.000548,               0.000548,               0.000548
                     25,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.000482,               0.000482,               0.000482
                     26,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.000416,               0.000416,               0.000416
                     27,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,                0.00035,                0.00035,                0.00035
                     28,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.000284,               0.000284,               0.000284
                     29,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.000218,               0.000218,               0.000218
                     30,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.000152,               0.000152,               0.000152
